,Country,Code,Year,Renewables - % electricity
294,Argentina,ARG,2010,27.595238
295,Argentina,ARG,2011,25.18341
296,Argentina,ARG,2012,22.783413
297,Argentina,ARG,2013,24.933668
298,Argentina,ARG,2014,24.931429
299,Argentina,ARG,2015,23.676249
300,Argentina,ARG,2016,21.39557
301,Argentina,ARG,2017,23.13028
302,Argentina,ARG,2018,23.995094
303,Argentina,ARG,2019,24.926538
304,Argentina,ARG,2020,25.318031
475,Australia,AUS,2010,8.829741
476,Australia,AUS,2011,11.943968
477,Australia,AUS,2012,12.076118
478,Australia,AUS,2013,14.237058
479,Australia,AUS,2014,13.228346
480,Australia,AUS,2015,14.095043
481,Australia,AUS,2016,16.163885
482,Australia,AUS,2017,15.133026
483,Australia,AUS,2018,18.844
484,Australia,AUS,2019,20.78225
485,Australia,AUS,2020,24.236483
916,Brazil,BRA,2010,84.80225
917,Brazil,BRA,2011,87.19347
918,Brazil,BRA,2012,82.5629
919,Brazil,BRA,2013,76.824974
920,Brazil,BRA,2014,73.279144
921,Brazil,BRA,2015,74.2077
922,Brazil,BRA,2016,80.46779
923,Brazil,BRA,2017,79.24727
924,Brazil,BRA,2018,82.35754
925,Brazil,BRA,2019,81.38569
926,Brazil,BRA,2020,83.16687
1360,China,CHN,2010,18.691467
1361,China,CHN,2011,16.812574
1362,China,CHN,2012,20.041142
1363,China,CHN,2013,20.129684
1364,China,CHN,2014,22.249393
1365,China,CHN,2015,23.968369
1366,China,CHN,2016,24.828798
1367,China,CHN,2017,25.241505
1368,China,CHN,2018,25.610998
1369,China,CHN,2019,26.848654
1370,China,CHN,2020,28.08742
1888,Egypt,EGY,2010,9.9633045
1889,Egypt,EGY,2011,9.842204
1890,Egypt,EGY,2012,9.131663
1891,Egypt,EGY,2013,8.995639
1892,Egypt,EGY,2014,8.619481
1893,Egypt,EGY,2015,8.584942
1894,Egypt,EGY,2016,8.411712
1895,Egypt,EGY,2017,8.022359
1896,Egypt,EGY,2018,8.2551775
1897,Egypt,EGY,2019,10.24631
1898,Egypt,EGY,2020,12.3766365
2511,Germany,DEU,2010,16.886944
2512,Germany,DEU,2011,20.566942
2513,Germany,DEU,2012,23.136122
2514,Germany,DEU,2013,24.130922
2515,Germany,DEU,2014,26.170504
2516,Germany,DEU,2015,29.43505
2517,Germany,DEU,2016,29.481543
2518,Germany,DEU,2017,33.466778
2519,Germany,DEU,2018,35.25811
2520,Germany,DEU,2019,40.18897
2521,Germany,DEU,2020,44.37406
3072,Iran,IRN,2010,4.4254923
3073,Iran,IRN,2011,4.6309266
3074,Iran,IRN,2012,5.1459355
3075,Iran,IRN,2013,5.7405553
3076,Iran,IRN,2014,5.3513765
3077,Iran,IRN,2015,4.7851844
3078,Iran,IRN,2016,5.4518766
3079,Iran,IRN,2017,5.786938
3080,Iran,IRN,2018,3.4672642
3081,Iran,IRN,2019,11.010066
3082,Iran,IRN,2020,7.393238
3275,Japan,JPN,2010,10.22802
3276,Japan,JPN,2011,10.278935
3277,Japan,JPN,2012,10.058001
3278,Japan,JPN,2013,11.082408
3279,Japan,JPN,2014,12.599744
3280,Japan,JPN,2015,14.951656
3281,Japan,JPN,2016,14.662352
3282,Japan,JPN,2017,16.001804
3283,Japan,JPN,2018,17.071156
3284,Japan,JPN,2019,17.576868
3285,Japan,JPN,2020,19.576511
4042,Mexico,MEX,2010,16.648523
4043,Mexico,MEX,2011,15.516532
4044,Mexico,MEX,2012,14.315115
4045,Mexico,MEX,2013,13.338045
4046,Mexico,MEX,2014,17.367796
4047,Mexico,MEX,2015,15.295633
4048,Mexico,MEX,2016,15.32056
4049,Mexico,MEX,2017,15.734298
4050,Mexico,MEX,2018,15.891784
4051,Mexico,MEX,2019,16.690367
4052,Mexico,MEX,2020,21.308407
4960,Oman,OMN,2010,0.0
4961,Oman,OMN,2011,0.0
4962,Oman,OMN,2012,0.0
4963,Oman,OMN,2013,0.0
4964,Oman,OMN,2014,0.0
4965,Oman,OMN,2015,0.0
4966,Oman,OMN,2016,0.0
4967,Oman,OMN,2017,0.05532503
4968,Oman,OMN,2018,0.053008217
4969,Oman,OMN,2019,0.051480055
4970,Oman,OMN,2020,0.54488844
5069,Papua New Guinea,PNG,2010,35.612537
5070,Papua New Guinea,PNG,2011,37.465565
5071,Papua New Guinea,PNG,2012,36.72922
5072,Papua New Guinea,PNG,2013,35.162094
5073,Papua New Guinea,PNG,2014,33.411213
5074,Papua New Guinea,PNG,2015,31.346577
5075,Papua New Guinea,PNG,2016,29.769392
5076,Papua New Guinea,PNG,2017,27.816093
5077,Papua New Guinea,PNG,2018,26.315792
5078,Papua New Guinea,PNG,2019,27.917622
5079,Papua New Guinea,PNG,2020,28.87828
5243,Portugal,PRT,2010,53.01047
5244,Portugal,PRT,2011,46.56238
5245,Portugal,PRT,2012,42.627644
5246,Portugal,PRT,2013,58.53029
5247,Portugal,PRT,2014,60.945946
5248,Portugal,PRT,2015,47.633945
5249,Portugal,PRT,2016,54.69941
5250,Portugal,PRT,2017,39.208195
5251,Portugal,PRT,2018,50.402744
5252,Portugal,PRT,2019,53.120155
5253,Portugal,PRT,2020,58.591167
6151,Sudan,SDN,2010,82.8496
6152,Sudan,SDN,2011,76.615746
6153,Sudan,SDN,2012,70.31579
6154,Sudan,SDN,2013,80.96618
6155,Sudan,SDN,2014,78.439964
6156,Sudan,SDN,2015,64.629486
6157,Sudan,SDN,2016,56.21139
6158,Sudan,SDN,2017,60.509556
6159,Sudan,SDN,2018,59.7561
6160,Sudan,SDN,2019,63.748463
6161,Sudan,SDN,2020,64.82558
6761,United States,USA,2010,10.3180895
6762,United States,USA,2011,12.466525
6763,United States,USA,2012,12.184118
6764,United States,USA,2013,12.831115
6765,United States,USA,2014,13.35031
6766,United States,USA,2015,13.626135
6767,United States,USA,2016,15.288093
6768,United States,USA,2017,17.451527
6769,United States,USA,2018,17.44999
6770,United States,USA,2019,18.294624
6771,United States,USA,2020,20.315693
